"ID_INDIV","GENDER","DAY","pa_gral","na_gral","V1RelSat"
3252,"female",31,2.6,1.1,6.5
3252,"female",32,1.2,1.3,6.5
3252,"female",33,1.2,1.3,6.5
3252,"female",34,2.1,1.1,6.5
3252,"female",35,1.9,1.1,6.5
3252,"female",36,2.4,1.1,6.5
3252,"female",37,1.3,1.2,6.5
3252,"female",38,1.3,1.7,6.5
3252,"female",39,1.5,2,6.5
3252,"female",40,1.4,2.6,6.5
3252,"female",41,1.4,3.1,6.5
3252,"female",42,1.7,2.9,6.5
3252,"female",43,2.2,2,6.5
3252,"female",44,2.3,1.2,6.5
3252,"female",45,2.3,1,6.5
3252,"female",46,2.1,1.3,6.5
3252,"female",47,1.3,2.3,6.5
3252,"female",48,2.6,1.3,6.5
3252,"female",49,2,1.4,6.5
3252,"female",50,1.9,1.2,6.5
3252,"female",51,2.3,1.2,6.5
3252,"female",52,1.2,2.5,6.5
3252,"female",53,1.6,3.8,6.5
3252,"female",54,1.4,3.2,6.5
3252,"female",55,1.8,2.7,6.5
3261,"male",1,2.8,1.6,6.5
3261,"male",2,3.1,2,6.5
3261,"male",3,2.4,2.9,6.5
3261,"male",4,1.9,2.3,6.5
3261,"male",5,2.3,2.5,6.5
3261,"male",6,2.3,1.4,6.5
3261,"male",7,2.8,1.4,6.5
3261,"male",8,3.7,2.1,6.5
3261,"male",9,3.2,1.6,6.5
3261,"male",10,4,2.2,6.5
3261,"male",11,2.5,1.1,6.5
3261,"male",12,2.1,1.1,6.5
3261,"male",13,2.5,1.7,6.5
3261,"male",14,3.4,1.3,6.5
3261,"male",15,2.3,1,6.5
3261,"male",16,2.4,1,6.5
3261,"male",17,2.8,1,6.5
3261,"male",18,2.2,1.1,6.5
3261,"male",19,2,1,6.5
3261,"male",20,2.7,1,6.5
3261,"male",21,3.4,1,6.5
3261,"male",22,2.7,1.5,6.5
3261,"male",23,1.7,1,6.5
3261,"male",24,1.5,2.3,6.5
3261,"male",25,2.4,1.5,6.5
3261,"male",26,2.1,1.2,6.5
3261,"male",27,2.4,1.2,6.5
3261,"male",28,2.4,1.1,6.5
3261,"male",29,1.8,1.1,6.5
3261,"male",30,2,1.4,6.5
3261,"male",31,2.7,1.5,6.5
3261,"male",32,2.1,1.7,6.5
3261,"male",33,2.1,1.3,6.5
3261,"male",34,2,1,6.5
3261,"male",35,1.6,1,6.5
3261,"male",36,2.1,1.3,6.5
3261,"male",37,1.9,1.2,6.5
3261,"male",38,2.2,2.3,6.5
